Accession,UniProtKB,EC_Number,COG,Chromosome,Source,Start,Stop,DNA_Length,Protein_Length,GenBank_Name,UniProt_GO,KEGG_Enzymes,KEGG_Pathways
EIC29767.1,H8GPY8,1.17.99.6,C,NZ_CM001475.1,chromosome,2263775,2264896,1121,373,"iron-sulfur cluster binding protein, putative",GO:0005737; GO:0008033; GO:0008616; GO:0046872; GO:0051539; GO:0052693,ko:K18979,NA
EIC30874.1,H8GPC8,1.17.99.6,C,NZ_CM001475.1,chromosome,3607907,3608617,710,236,hypothetical protein Metal_3202,GO:0008033; GO:0008616; GO:0046872; GO:0051539; GO:0052693,"ko:K03470,ko:K09765","ko03030,map03030"
EIC31566.1,H8GJN7,1.18.1.1; 1.7.1.15,C,NZ_CM001475.1,chromosome,4375458,4376471,1013,337,NAD(P)H-nitrite reductase,GO:0016491,"ko:K00362,ko:K05297,ko:K12264,ko:K12265","ko00071,ko00910,ko01120,ko05132,map00071,map00910,map01120,map05132"
EIC28145.1,H8GLU9,1.2.1.-,C,NZ_CM001475.1,chromosome,286848,287861,1013,337,"glyceraldehyde-3-phosphate dehydrogenase, type I",GO:0006006; GO:0016620; GO:0050661; GO:0051287,ko:K00134,"ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010"
EIC28118.1,H8GLB9,1.2.1.3; 1.2.1.9,C,NZ_CM001475.1,chromosome,254033,255478,1445,481,NAD-dependent aldehyde dehydrogenase,GO:0016620,"ko:K00128,ko:K00131","ko00010,ko00030,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130,map01200"
EIC29741.1,H8GPW2,1.2.1.70,C,NZ_CM001475.1,chromosome,2231531,2232388,857,285,"putative ornithine cyclodeaminase, mu-crystallin",NA,"ko:K02407,ko:K02492,ko:K15671","ko00860,ko01051,ko01052,ko01100,ko01110,ko01120,ko02040,map00860,map01051,map01052,map01100,map01110,map01120,map02040"
EIC31082.1,H8GQU7,1.2.3.3; 1.2.5.1,C,NZ_CM001475.1,chromosome,3826479,3828242,1763,587,"thiamine pyrophosphate-dependent enzyme, possible carboligase or decarboxylase",GO:0000287; GO:0016874; GO:0030976,"ko:K00156,ko:K00158","ko00620,ko01100,map00620,map01100"
EIC30155.1,H8GHK3,1.2.4.1,C,NZ_CM001475.1,chromosome,2758687,2761365,2678,892,"pyruvate dehydrogenase E1 component, homodimeric type",GO:0004739; GO:0046872,ko:K00163,"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200"
EIC29251.1,H8GKS9,1.2.4.2; 4.1.1.71,C,NZ_CM001475.1,chromosome,1642811,1645639,2828,942,"2-oxoglutarate dehydrogenase, E1 component",GO:0004591; GO:0006099; GO:0030976,"ko:K00164,ko:K01616","ko00020,ko00310,ko00380,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00310,map00380,map01100,map01110,map01120,map01130,map01200"
EIC31012.1,H8GQ72,1.2.7.1,C,NZ_CM001475.1,chromosome,3746410,3750024,3614,1204,"pyruvate:ferredoxin (flavodoxin) oxidoreductase, homodimeric",GO:0005506; GO:0016903; GO:0022900; GO:0030976; GO:0051539,ko:K03737,"ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200"
EIC27971.1,H8GK12,1.2.7.12,C,NZ_CM001475.1,chromosome,100739,102415,1676,558,formylmethanofuran dehydrogenase subunit A,GO:0016810,ko:K00200,"ko00680,ko01100,ko01120,ko01130,ko01200,map00680,map01100,map01120,map01130,map01200"
EIC28259.1,H8GML9,1.2.7.12,C,NZ_CM001475.1,chromosome,440020,441291,1271,423,formylmethanofuran dehydrogenase subunit B,GO:0015948; GO:0018493,ko:K00201,"ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200"
EIC28260.1,H8GMM0,1.2.7.12,C,NZ_CM001475.1,chromosome,441288,442952,1664,554,formylmethanofuran dehydrogenase subunit A,GO:0016810,ko:K00200,"ko00680,ko01100,ko01120,ko01130,ko01200,map00680,map01100,map01120,map01130,map01200"
EIC28267.1,H8GMM7,1.2.7.12,C,NZ_CM001475.1,chromosome,445656,446468,812,270,formylmethanofuran dehydrogenase subunit C,GO:0015948; GO:0018493; GO:0046914,ko:K00202,"ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200"
EIC30286.1,H8GIU6,1.2.7.3,C,NZ_CM001475.1,chromosome,2916430,2916966,536,178,archaeal flavoprotein,GO:0003824,"ko:K00176,ko:K06411","ko00020,ko00720,ko01100,ko01120,ko01200,map00020,map00720,map01100,map01120,map01200"
EIC29486.1,H8GMT4,1.20.4.1,C,NZ_CM001475.1,chromosome,1932305,1932652,347,115,glutaredoxin-dependent arsenate reductase,GO:0008794,ko:K00537,NA
EIC31136.1,H8GRF7,1.21.98.3,C,NZ_CM001475.1,chromosome,3883708,3885252,1544,514,Fe-S oxidoreductase,GO:0003824; GO:0031419; GO:0046872; GO:0051536,ko:K04034,"ko00860,ko01100,ko01110,map00860,map01100,map01110"
EIC29781.1,H8GQF4,1.3.5.1,C,NZ_CM001475.1,chromosome,2278090,2279874,1784,594,"succinate dehydrogenase, flavoprotein subunit",GO:0005886; GO:0006099; GO:0008177; GO:0022900; GO:0050660,ko:K00239,"ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko05134,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200,map05134"
EIC29782.1,H8GQF5,1.3.5.1,C,NZ_CM001475.1,chromosome,2279874,2280659,785,261,succinate dehydrogenase and fumarate reductase iron-sulfur protein,GO:0006099; GO:0008177; GO:0009055; GO:0046872; GO:0051537; GO:0051538; GO:0051539,ko:K00240,"ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200"
EIC31546.1,H8GJ39,1.3.8.7,C,NZ_CM001475.1,chromosome,4353896,4355077,1181,393,acyl-CoA dehydrogenase,GO:0016627; GO:0050660,ko:K00249,"ko00071,ko00280,ko00410,ko00640,ko01100,ko01110,ko01130,ko01200,ko01212,ko03320,map00071,map00280,map00410,map00640,map01100,map01110,map01130,map01200,map01212,map03320"
EIC30111.1,H8GHF9,1.4.1.1,C,NZ_CM001475.1,chromosome,2699064,2700194,1130,376,alanine dehydrogenase,GO:0000166; GO:0000286; GO:0042853,ko:K00259,"ko00250,ko00430,ko01100,map00250,map00430,map01100"
EIC29231.1,H8GKQ9,1.4.3.19,C,NZ_CM001475.1,chromosome,1621852,1622955,1103,367,glycine oxidase ThiO,GO:0016491; GO:0050660,ko:K03153,"ko00730,ko01100,map00730,map01100"
EIC30214.1,H8GI70,1.5.5.2; 1.2.1.88,C,NZ_CM001475.1,chromosome,2836005,2839085,3080,1026,delta-1-pyrroline-5-carboxylate dehydrogenase,GO:0003677; GO:0003700; GO:0003842; GO:0004657; GO:0006561; GO:0010133; GO:0016620,"ko:K00294,ko:K13821","ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130"
EIC30247.1,H8GIQ7,1.6.5.2,C,NZ_CM001475.1,chromosome,2875166,2875771,605,201,"NAD(P)H:quinone oxidoreductase, type IV",GO:0003955; GO:0010181; GO:0050660; GO:0050661; GO:0051287,ko:K03809,"ko00130,ko01110,map00130,map01110"
EIC29237.1,H8GKR5,1.6.5.3,C,NZ_CM001475.1,chromosome,1630191,1631744,1553,517,"NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit",GO:0008137; GO:0010181; GO:0046872; GO:0051539,"ko:K00124,ko:K00335","ko00190,ko00630,ko00680,ko01100,ko01120,ko01200,map00190,map00630,map00680,map01100,map01120,map01200"
EIC29238.1,H8GKR6,1.6.5.3,C,NZ_CM001475.1,chromosome,1631741,1632217,476,158,NADH:ubiquinone oxidoreductase 24 kD subunit,GO:0016491; GO:0046872; GO:0051537,"ko:K00124,ko:K00127,ko:K00334,ko:K00335","ko00190,ko00630,ko00680,ko01100,ko01120,ko01200,map00190,map00630,map00680,map01100,map01120,map01200"
EIC29294.1,H8GKX2,1.6.5.3,C,NZ_CM001475.1,chromosome,1707659,1709161,1502,500,"proton-translocating NADH-quinone oxidoreductase, chain M",GO:0008137; GO:0016021; GO:0042773,ko:K00342,"ko00190,ko01100,map00190,map01100"
EIC29295.1,H8GKX3,1.6.5.3,C,NZ_CM001475.1,chromosome,1709158,1710972,1814,604,"proton-translocating NADH-quinone oxidoreductase, chain L",GO:0008137; GO:0016021; GO:0042773,ko:K00341,"ko00190,ko01100,map00190,map01100"
EIC29300.1,H8GKX8,1.6.5.3,C,NZ_CM001475.1,chromosome,1713527,1716220,2693,897,"NADH-quinone oxidoreductase, chain G",GO:0008137; GO:0009055; GO:0016020; GO:0042773; GO:0051536,ko:K00336,"ko00190,ko01100,map00190,map01100"
EIC29302.1,H8GKY0,1.6.5.3,C,NZ_CM001475.1,chromosome,1717516,1717998,482,160,NADH:ubiquinone oxidoreductase 24 kD subunit,GO:0016491; GO:0046872; GO:0051537,ko:K00334,"ko00190,ko01100,map00190,map01100"
EIC29727.1,H8GPU8,1.6.5.3,C,NZ_CM001475.1,chromosome,2214203,2215666,1463,487,"proton-translocating NADH-quinone oxidoreductase, chain M",GO:0008137; GO:0016021; GO:0042773,ko:K00342,"ko00190,ko01100,map00190,map01100"
EIC29730.1,H8GPV1,1.6.5.3,C,NZ_CM001475.1,chromosome,2220547,2222139,1592,530,"proton-translocating NADH-quinone oxidoreductase, chain M",GO:0008137; GO:0016021; GO:0042773,ko:K00342,"ko00190,ko01100,map00190,map01100"
EIC29731.1,H8GPV2,1.6.5.3,C,NZ_CM001475.1,chromosome,2222136,2223695,1559,519,"proton-translocating NADH-quinone oxidoreductase, chain M",GO:0008137; GO:0016021; GO:0042773,ko:K00342,"ko00190,ko01100,map00190,map01100"
EIC28885.1,H8GH94,1.6.5.5,C,NZ_CM001475.1,chromosome,1195402,1196397,995,331,"Zn-dependent oxidoreductase, NADPH:quinone reductase",GO:0008270; GO:0016491,ko:K00344,NA
EIC31579.1,H8GJQ0,1.6.5.5,C,NZ_CM001475.1,chromosome,4392508,4393485,977,325,"putative NAD(P)H quinone oxidoreductase, PIG3 family",GO:0016491,ko:K00344,NA
EIC30717.1,H8GN03,1.6.99.3,C,NZ_CM001475.1,chromosome,3400038,3401345,1307,435,"NADH dehydrogenase, FAD-containing subunit",GO:0016491,ko:K03885,"ko00190,map00190"
EIC30836.1,H8GNT0,1.7.1.15,C,NZ_CM001475.1,chromosome,3550997,3553564,2567,855,"NAD(P)H-dependent nitrite reductase, large subunit",GO:0008942; GO:0020037; GO:0042128; GO:0046872; GO:0050660; GO:0050661; GO:0051539,ko:K00362,"ko00910,ko01120,map00910,map01120"
EIC30390.1,H8GJN0,1.7.1.15; 1.7.7.1; 1.8.1.2; 1.8.7.1,C,NZ_CM001475.1,chromosome,3024748,3026430,1682,560,"sulfite reductase, beta subunit (hemoprotein)",GO:0016491; GO:0020037; GO:0046872; GO:0051539,"ko:K00362,ko:K00366,ko:K00381,ko:K00392","ko00910,ko00920,ko01100,ko01120,map00910,map00920,map01100,map01120"
EIC28408.1,H8GNY6,1.7.1.17,C,NZ_CM001475.1,chromosome,645832,646434,602,200,acyl carrier protein phosphodiesterase,GO:0009055; GO:0010181; GO:0016652; GO:0016661,ko:K01118,NA
EIC28911.1,H8GHC0,1.7.2.1,C,NZ_CM001475.1,chromosome,1220768,1222582,1814,604,hypothetical protein Metal_1093,NA,"ko:K00368,ko:K07243","ko00910,ko01120,map00910,map01120"
EIC30051.1,H8GGT8,1.7.2.1,C,NZ_CM001475.1,chromosome,2637501,2637947,446,148,plastocyanin,GO:0005507; GO:0009055,ko:K00368,"ko00910,ko01120,map00910,map01120"
EIC30443.1,H8GKF2,1.7.2.6,C,NZ_CM001475.1,chromosome,3095025,3096698,1673,557,hypothetical protein Metal_2745,GO:0046872,ko:K10535,"ko00910,ko01120,map00910,map01120"
EIC31335.1,H8GHL7,1.7.7.1; 1.8.4.10; 1.8.4.8; 2.7.1.25,C,NZ_CM001475.1,chromosome,4105477,4106202,725,241,thioredoxin-dependent phosophoadenylyl-sulfate reductase,GO:0004604; GO:0005737; GO:0019344; GO:0019379; GO:0070814,"ko:K00366,ko:K00390,ko:K00860","ko00230,ko00910,ko00920,ko01100,ko01120,map00230,map00910,map00920,map01100,map01120"
EIC29034.1,H8GIK7,1.7.7.2; 1.8.1.2,C,NZ_CM001475.1,chromosome,1370117,1374301,4184,1394,"sulfite reductase, alpha subunit (flavoprotein)",GO:0010181; GO:0016491; GO:0042128; GO:0043546; GO:0046872; GO:0051539,"ko:K00367,ko:K00380","ko00910,ko00920,ko01100,ko01120,map00910,map00920,map01100,map01120"
EIC29199.1,H8GK75,1.8.1.2,C,NZ_CM001475.1,chromosome,1579615,1581357,1742,580,"sulfite reductase, alpha subunit (flavoprotein)",GO:0004783; GO:0010181; GO:0019344; GO:0050660,ko:K00380,"ko00920,ko01100,ko01120,map00920,map01100,map01120"
EIC29253.1,H8GKT1,1.8.1.4,C,NZ_CM001475.1,chromosome,1646891,1648336,1445,481,dihydrolipoamide dehydrogenase,GO:0004148; GO:0005623; GO:0009055; GO:0045454; GO:0050660,ko:K00382,"ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200"
EIC30153.1,H8GHK1,1.8.1.4,C,NZ_CM001475.1,chromosome,2755931,2757349,1418,472,dihydrolipoamide dehydrogenase,GO:0004148; GO:0005623; GO:0009055; GO:0045454; GO:0050660,ko:K00382,"ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200"
EIC28584.1,H8GQC5,1.8.1.9,C,NZ_CM001475.1,chromosome,858708,859661,953,317,thioredoxin-disulfide reductase,GO:0004791; GO:0005737; GO:0019430,"ko:K00384,ko:K03671","ko00450,ko04621,ko05418,map00450,map04621,map05418"
EIC29790.1,H8GQG3,1.8.2.2,C,NZ_CM001475.1,chromosome,2287619,2288560,941,313,hypothetical protein Metal_2030,GO:0009055; GO:0016669; GO:0019417; GO:0020037; GO:0046872; GO:0070069,"ko:K17222,ko:K19713","ko00920,ko01100,ko01120,map00920,map01100,map01120"
EIC30532.1,H8GL51,1.8.4.11,C,NZ_CM001475.1,chromosome,3214412,3215050,638,212,methionine-S-sulfoxide reductase,GO:0006464; GO:0008113,ko:K07304,NA
EIC28676.1,H8GR17,1.8.4.12,C,NZ_CM001475.1,chromosome,953531,953929,398,132,methionine-R-sulfoxide reductase,GO:0006979; GO:0008270; GO:0030091; GO:0033743,"ko:K07305,ko:K12267",NA
